groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
group,0,0,3.0,3,0
group,0,0,3.0,0,4
group,1.0,0,1.0,5,0
group,1.0,0,1.0,4,1
group,0,0,3.0,1,2
group,0,0,5.0,1,0
group,0,0,4.0,0,2
group,0,0,4.0,1,1
group,0,0,6.0,0,0
group,1.0,0,1.0,2,4
group,1.0,0,1.0,3,2
group,0,0,2.0,4,0
group,0,0,2.0,2,2
group,1.0,0,1.0,1,6
group,0,0,5.0,0,1
group,2.0,0,0.0,3,3
group,0,0,2.0,3,1
group,2.0,0,1.0,2,3
group,2.0,0,0.0,4,2
group,2.0,0,0.0,5,1
group,0,0,2.0,1,4
group,2.0,0,0.0,2,5
group,0,0,2.0,0,6
group,2.0,0,0.0,6,0
group,0,0,4.0,2,0
group,0,0,3.0,2,1
group,2.0,0,1.0,1,5
